title,authors,year,venue,theme,source
"Turning a blind eye: Explicit removal of biases and variation from deep neural network embeddings","Alvi M.; Zisserman A.; Nellaaker N.",2018,ECCV Workshops,fairness-debiasing,fairface-ref
"OpenFace: A general-purpose face recognition library with mobile applications","Amos B.; Ludwiczuk B.; Satyanarayanan M.",2016,CMU SCS,face-recognition,fairface-ref
"Face aging with conditional generative adversarial networks","Antipov G.; Baccouche M.; Dugelay J.-P.",2017,ICIP,generative-augmentation,fairface-ref
"OpenFace 2.0: Facial behavior analysis toolkit","Baltrusaitis T.; Zadeh A.; Lim Y.C.; Morency L.",2018,IEEE FG,face-analysis,fairface-ref
"CVAE-GAN: fine-grained image generation through asymmetric training","Bao J.; Chen D.; Wen F.; Li H.; Hua G.",2017,ICCV,generative-augmentation,fairface-ref
"Fairness in criminal justice risk assessments: The state of the art","Berk R.; Heidari H.; Jabbari S.; Kearns M.; Roth A.",2018,Sociological Methods & Research,fairness-theory,fairface-ref
"Gender shades: Intersectional accuracy disparities in commercial gender classification","Buolamwini J.; Gebru T.",2018,FAccT,fairness-audit,fairface-ref
"VGGFace2: A dataset for recognising faces across pose and age","Cao Q.; Shen L.; Xie W.; Parkhi O.M.; Zisserman A.",2018,IEEE FG,face-dataset,fairface-ref
"Who makes trends? Understanding demographic biases in crowdsourced recommendations","Chakraborty A.; Messias J.; Benevenuto F.; Ghosh S.; Ganguly N.; Gummadi K.P.",2017,AAAI ICWSM,fairness-audit,fairface-ref
"Face recognition and retrieval using cross-age reference coding","Chen B.-C.; Chen C.-C.; Hsu W.H.",2015,IEEE TMM,face-dataset,fairface-ref
"Algorithmic decision making and the cost of fairness","Corbett-Davies S.; Pierson E.; Feller A.; Goel S.; Huq A.",2017,ACM SIGKDD,fairness-theory,fairface-ref
"Mitigating bias in gender, age and ethnicity classification","Das A.; Dantcheva A.; Bremond F.",2018,ECCV Workshops,fairness-attribute-mitigation,fairface-ref
"ChaLearn Looking at People and Faces of the World","Escalera S.; Torres Torres M.; Martinez B.",2016,CVPR Workshops,face-analysis,fairface-ref
"SCface - surveillance cameras face database","Grgic M.; Delac K.; Grgic S.",2011,Multimedia Tools and Applications,face-dataset,fairface-ref
"MS-Celeb-1M: A dataset and benchmark for large-scale face recognition","Guo Y.; Zhang L.; Hu Y.; He X.; Gao J.",2016,ECCV,face-dataset,fairface-ref
"Heterogeneous face attribute estimation: A deep multi-task learning approach","Han H.; Jain A.K.; Wang F.; Shan S.; Chen S.",2018,IEEE TPAMI,face-attribute,fairface-ref
"Equality of opportunity in supervised learning","Hardt M.; Price E.; Srebro N.",2016,NeurIPS,fairness-theory,fairface-ref
"Deep residual learning for image recognition","He K.; Zhang X.; Ren S.; Sun J.",2016,CVPR,backbone,fairface-ref
"Arbitrary facial attribute editing: Only change what you want","He Z.; Zuo W.; Kan M.; Shan S.; Chen X.",2017,arXiv,generative-augmentation,fairface-ref
"Women also snowboard: Overcoming bias in captioning models","Hendricks L.A.; Burns K.; Saenko K.; Darrell T.; Rohrbach A.",2018,ECCV,fairness-debiasing,fairface-ref
"Finding tiny faces","Hu P.; Ramanan D.",2017,CVPR,face-detection,fairface-ref
"Labeled faces in the wild (LFW)","Huang G.B.; Mattar M.; Berg T.; Learned-Miller E.",2008,Workshop on Faces in Real-Life Images,face-dataset,fairface-ref
"Labeled faces in the wild (UMass TR 07-49)","Huang G.B.; Ramesh M.; Berg T.; Learned-Miller E.",2007,UMass Technical Report,face-dataset,fairface-ref
"Automated facial trait judgment and election outcome prediction","Joo J.; Steen F.F.; Zhu S.-C.",2015,ICCV,face-application,fairface-ref
"Human attribute recognition by rich appearance dictionary","Joo J.; Wang S.; Zhu S.-C.",2013,ICCV,face-attribute,fairface-ref
"A style-based generator architecture for generative adversarial networks (StyleGAN)","Karras T.; Laine S.; Aila T.",2018,arXiv,generative-augmentation,fairface-ref
"The MegaFace benchmark: 1 million faces for recognition at scale","Kemelmacher-Shlizerman I.; Seitz S.M.; Miller D.; Brossard E.",2016,CVPR,face-dataset,fairface-ref
"Max-margin object detection","King D.E.",2015,arXiv,face-detection,fairface-ref
"Adam: A method for stochastic optimization","Kingma D.P.; Ba J.",2014,arXiv,optimization,fairface-ref
"Examining gender and race bias in two hundred sentiment analysis systems","Kiritchenko S.; Mohammad S.M.",2018,arXiv,fairness-audit,fairface-ref
"Describable visual attributes for face verification and image search","Kumar N.; Berg A.; Belhumeur P.N.; Nayar S.",2011,IEEE TPAMI,face-attribute,fairface-ref
"Fader networks: Manipulating images by sliding attributes","Lample G.; Zeghidour N.; Usunier N.; Bordes A.; Denoyer L.",2017,NeurIPS,generative-augmentation,fairface-ref
"Person re-identification by attributes","Layne R.; Hospedales T.M.; Gong S.",2012,BMVC,face-attribute,fairface-ref
"Clothing attributes assisted person reidentification","Li A.; Liu L.; Wang K.; Liu S.; Yan S.",2015,IEEE TCSVT,face-attribute,fairface-ref
"A convolutional neural network cascade for face detection","Li H.; Lin Z.; Shen X.; Brandt J.; Hua G.",2015,CVPR,face-detection,fairface-ref
